,,1,2,3,4,5,6,7,8,9,10,11,Subtotal Task 1,2,3,4,5,6,8,9,10,12,13,Subtotal Task 2,2,3,4,5,6,8,9,10,12,13,Subtotal Task 3,3,4,5,6,8,9,10,12,13,Subtotal Task 4,3,4,5,6,8,9,10,12,13,Subtotal Task 5,3,4,5,6,8,9,10,12,13,Subtotal Task 6,3,4,5,6,8,9,10,12,13,Subtotal Task 7,Sum,Percentage
,,ASL1,,,,,,,,,,,,ASL2,,,,,,,,,,,ASL3,,,,,,,,,,,ASL4,,,,,,,,,,ASL5,,,,,,,,,,ASL6,,,,,,,,,,ASL7,,,,,,,,,,,
1.0 Variable: Incorrect attempt to use variable,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1 Object instantiation uses variable name; intends variable access,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,"0,00"
1.2 Use of non-static variable from static context,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,"0,00"
1.3 Use of variable from another class,,,,,,,,,,,,,0,,1,,,,,,,,,1,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,1,"0,14"
1.4 Variable not declared,,,,,,,,,,,,,0,5,7,,,,,,,,,12,4,5,,,,,,,,,9,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,21,"2,96"
1.5 Wrong variable used,,,,3,,,,,,,,2,5,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,5,"0,70"
1.6 Variable name written incorrectly,,,,,,,,,,,,,0,14,1,2,,,,,,,,17,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,17,"2,39"
1.7 Unspecified Incorrect attemt to use variable,,,,,,,,,,,,,0,,,,,,,,,,3,3,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,1,,,,,,,,,1,4,"0,56"
2.0 Variable: Incorrect variable declaration,syntactic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1 Local variable declaration with illegal modifier,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,"0,00"
2.2 Variable declaration: name and type in wrong order,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,"0,00"
2.3 Variable declaration: name missing,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,"0,00"
2.4 Variable declaration: variable name contains whitespace,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,"0,00"
2.5 Variable needs a unique name,,,2,,,,,,,,,,2,1,,,,,,,,,,1,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,3,"0,42"
2.6 Unspecified Incorrect variable declaration,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,"0,00"
3.0 Method: Incorrect method call,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1 Method call attempted using variable name,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,"0,00"
3.2 Method call targeting wrong type,,,,,,,,,,,,,0,1,2,,,,,,,,1,4,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,4,"0,56"
3.3 Method call: parameter doubles as declaration,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,0,"0,00"
